title,singers,album,download_link,directors,year,film,cast
Bangla Khula - Remix,['Megha Sriram'],Anwar,http://www.youtube.com/watch?v=TqUIKc9hOI4,['Ghungroo'],2006,Anwar,
Aaya Dil Ko Churane Remo,"['Nakul', 'G.V. Prakash Kumar']",Aparichit,https://www.youtube.com/watch?v=or5sT9WEJ4c,['Harris Jayaraj'],2006,Aparichit,
Kumari Dil Dhadke Dekh Ke Tujhko,"['Unnikrishnan', 'Harini']",Aparichit,https://www.youtube.com/watch?v=Cd5W1lhAuus,['Harris Jayaraj'],2006,Aparichit,
Gora Gora Ang Tera,"['Vasundhara Das', 'Leslie Lewis']",Aparichit,https://www.youtube.com/watch?v=a2iA8kC8cvM,['Harris Jayaraj'],2006,Aparichit,
Iyengar Ghar Ki Sajni,"['Hariharan', 'Harini']",Aparichit,https://www.youtube.com/watch?v=hEQfF_8R0nM,['Harris Jayaraj'],2006,Aparichit,
Chori Chori (Randaka Randaka),"['Shreya Ghoshal', 'KK']",Aparichit,https://www.youtube.com/watch?v=EfSGCxBwazw,['Harris Jayaraj'],2006,Aparichit,
Dil Mein Baji Guitar,['Mika Singh'],Apna Sapna Money Money,http://www.youtube.com/watch?v=M3wlRCwxgjs,['Pritam'],2006,Apna Sapna Money Money,
Gustakh Nigah,"['Sukhwinder Singh', 'Alisha Chinai']",Apna Sapna Money Money,http://www.youtube.com/watch?v=nsr_koKeQ8k,['Pritam'],2006,Apna Sapna Money Money,
Jai Jai Money,"['Sukhwinder Singh', 'Rana Mazumder', 'Bob']",Apna Sapna Money Money,http://www.youtube.com/watch?v=O7ZU7ej-4Ug,['Pritam'],2006,Apna Sapna Money Money,
Paisa Paisa,"[""Suzanne D'Mello"", 'Hamza Faruqui']",Apna Sapna Money Money,http://www.youtube.com/watch?v=K4huTqkc22c,['Pritam'],2006,Apna Sapna Money Money,
Har Nazar Chaahe Mujhe Main Sania Badnaam,"['Sunidhi Chauhan', 'Bob']",Apna Sapna Money Money,http://www.youtube.com/watch?v=m0KA1QudID8,['Pritam'],2006,Apna Sapna Money Money,
Dil Mein Baji Guitar - 1,['Amit Kumar'],Apna Sapna Money Money,http://www.youtube.com/watch?v=8POTpazdrg0,['Pritam'],2006,Apna Sapna Money Money,
Janeman,"['Sonu Nigam', 'Shreya Ghoshal']",Aryan - Unbreakable,https://www.youtube.com/watch?v=ZsAkuyeN6rs,['Anand Raj Anand'],2006,Aryan - Unbreakable,
It's Beautiful Day,"['Shreya Ghoshal', 'Hamza Faruqui']",Aryan - Unbreakable,https://www.youtube.com/watch?v=LJG9VERgZHU,['Anand Raj Anand'],2006,Aryan - Unbreakable,
Ek Look Ek Look (Remix),"['Poonam Khubani', 'Anand Raj Anand']",Aryan - Unbreakable,https://www.youtube.com/watch?v=a6DUoBEFQgE,['Anand Raj Anand'],2006,Aryan - Unbreakable,
